Longitude,Latitude,WELL.ID,SOURCE,Arsenic,Barium,Calcium,Chloride,Chromium,Fluoride,Iron,Magnesium,Manganese,Nickel,Nitrate.as.N,Potassium,Selenium,Sodium,Sulfate,Uranium,Vanadium
-121.3354,38.8063,102070,LLNL,0.98233575,23,58000,27000,0.439674196,310,30,13000,96,2.732818676,497.3990532,3500,0.192614223,41000,74000,0.302428475,2.875651855
-121.3354,38.8063,102070,LLNL,0.971775909,22,58000,25000,0.154798245,330,28,13000,97,1.997585107,505.4069037,3400,4.019727637,40000,73000,0.267268324,1.673924248
-121.3354,38.8063,102071,LLNL,0.413921284,47,61000,22000,0.045851975,440,15.08189149,14000,52,3.871973368,704.2987626,3600,3.90847764,41000,79000,18,5.5
-121.3354,38.8063,102071,LLNL,0.084332733,46,60000,22000,0.391798747,460,6.742442781,14000,52,4.416897155,334.991942,3400,0.709168522,40000,77000,18,5.1
-121.3354,38.8063,102072,LLNL,0.133834387,77,65000,37000,0.655337264,420,57,14000,43,3.399062147,230.2756465,3900,3.193500397,43000,77000,0.754849867,2.857270502
-121.3354,38.8063,102072,LLNL,0.976197018,74,65000,37000,0.44348348,430,56,14000,44,2.877948632,288.6664834,3800,0.568769481,42000,75000,0.296271681,1.436085065
-121.3354,38.8063,102073,LLNL,0.918395791,140,92000,59000,2.2,330,10.66667544,22000,1.546472886,3.198485563,42000,4200,3.549337051,53000,120000,9.6,4.6
-121.3354,38.8063,102073,LLNL,1.9,180,84000,54000,1.517147674,340,1.635582284,22000,1.075632207,4.716368011,43000,4000,1.285493223,51000,120000,7.5,7.1
-121.3354,38.8063,102073,LLNL,0.495375547,140,92000,56000,2.1,340,1.536213551,22000,1.570750962,0.333847889,42000,4100,2.775475741,52000,120000,9.3,4.2
-121.3354,38.8063,102074,LLNL,0.964291853,120,130000,120000,6,350,18.58839995,29000,0.504778222,0.508037085,28000,4100,11,58000,160000,16.5,4
-121.3354,38.8063,102074,LLNL,0.827953223,130,130000,120000,6,340,15.18001035,29000,1.355006807,0.84597844,28000,4200,11,59000,170000,15,4.1
-121.3354,38.8063,102075,LLNL,0.099621087,6.9,8200,11000,0.36705566,540,45,2200,14,2.924336938,1092.807682,2500,1.806169612,140000,328.5380045,0.305811605,0.94199318
-121.3354,38.8063,102075,LLNL,0.382414359,7.2,7900,12000,0.200862487,520,44,2100,14,3.284288563,375.6165674,2400,1.30537184,150000,314.1049822,0.532000638,2.74004176
-121.3354,38.8063,102076,LLNL,0.254839214,17,19000,20000,0.029540251,240,11.04574675,3600,16,3.070579919,735.9804219,2800,4.006516662,53000,11000,0.708194312,0.198480305
-121.3354,38.8063,102076,LLNL,0.482852502,17,20000,21000,0.031925351,220,6.51484462,3700,15,2.605930578,234.803513,2800,3.95313242,55000,11000,0.809659432,0.023129837
-121.3354,38.8063,102077,LLNL,0.811229837,20,18000,21000,0.435479441,280,17.57146666,3100,34,3.097632241,199.0554418,3100,1.639982008,61000,64.41782275,0.406291516,2.559062589
-121.3354,38.8063,102077,LLNL,0.359313444,19,17000,20000,0.892136426,290,17.32473804,2900,32,4.461055569,435.5711494,2900,3.760597855,58000,70.59681939,0.732719319,0.300296657
-121.3354,38.8063,102078,LLNL,0.17065368,24,25000,21000,0.277672657,250,18.02653818,6400,45,1.988528993,310.9651641,3500,2.443417725,46000,377.4405108,0.479690197,1.820161524
-121.3354,38.8063,102078,LLNL,0.098694965,24,26000,21000,0.801527362,240,3.033954361,6500,45,1.010700967,416.0804391,3600,1.065409762,46000,318.984369,0.982205358,1.445038748
-121.3354,38.8063,102079,LLNL,0.479595362,30,31000,21000,0.904286162,250,14.72357881,7900,23,0.454003107,662.9403347,2600,2.677179949,41000,261.7125049,0.930030311,2.379509675
-121.3354,38.8063,102079,LLNL,0.88413981,29,32000,22000,0.672911197,240,9.525925843,8200,22,3.297307881,362.3981425,2700,3.225630936,41000,386.6529735,0.445115325,2.816689739
-121.3354,38.8063,102079,LLNL,0.043064322,28,30000,21000,1.2,260,3.182324357,8100,22,0.398303811,224.0684685,3000,0.862745283,42000,46.52313213,0.086495488,0.657914216
-121.3354,38.8063,102080,LLNL,1.3,69,48000,21000,0.755797841,350,28,12000,52,3.07229373,506.5000638,3100,4.51352475,39000,52000,0.712553756,1.478922639
-121.3354,38.8063,102080,LLNL,1.4,66,50000,20000,0.081058505,340,28,12000,50,2.654564331,185.8597735,3200,1.303864545,40000,50000,0.931870357,2.802089386
