Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Zürich / Fluntern
Altitude [m asl]:         556 m
Coordinates:              47° 22.7' N / 8° 33.9' E

Reference date of homogenization:
         Temperature:     01.12.2009
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            20.01.2021


Year  Month        Temperature      Precipitation  
1896      2               -2.1                9.9  
1896      3                6.3              113.9  
1896      4                5.5              133.9  
1896      5               10.5               89.9  
1896      6               15.9              107.1  
1896      7               17.5              146.9  
1896      8               14.4              120.2  
1896      9               13.1              159.6  
1896     10                7.3              124.5  
1896     11                1.5               36.2  
1896     12               -0.3               43.2  
1897      1               -2.3               18.1  
1897      2                3.8              124.5  
1897      3                6.3               85.2  
1897      4                7.8               84.4  
1897      5               10.1              142.2  
1897      6               17.7               88.4  
1897      7               17.9               92.9  
1897      8               16.9              193.3  
1897      9               12.3              199.1  
1897     10                6.8               23.6  
1897     11                2.7               11.1  
1897     12               -0.6               46.0  
1898      1                0.4               15.8  
1898      2                0.5               99.4  
1898      3                3.0               40.8  
1898      4                8.1               98.3  
1898      5               11.3              170.7  
1898      6               14.5              151.1  
1898      7               16.3               76.7  
1898      8               18.6               75.7  
1898      9               15.0               32.0  
1898     10               10.1              107.3  
1898     11                4.8              103.4  
1898     12                0.6               51.5  
1899      1                1.7              120.2  
1899      2                2.7               23.0  
1899      3                4.4               24.1  
1899      4                7.4              153.3  
1899      5               11.3               97.9  
1899      6               15.7               37.0  
1899      7               17.6               76.5  
1899      8               18.9               46.9  
1899      9               13.2              123.1  
1899     10                8.6               74.8  
1899     11                3.7               15.7  
1899     12               -2.7               64.2  
1900      1                1.0              129.2  
1900      2                2.6               66.7  
1900      3                0.2               63.6  
1900      4                6.9               68.9  
1900      5               10.8               82.0  
1900      6               16.8               87.3  
1900      7               18.7              154.7  
1900      8               15.9              106.9  
1900      9               15.0               60.3  
1900     10                8.8               69.1  
1900     11                4.3               57.2  
1900     12                1.9               87.4  
1901      1               -2.5               36.8  
1901      2               -4.8               28.8  
1901      3                2.3               68.3  
1901      4                8.2              186.9  
1901      5               13.1               23.6  
1901      6               16.2              165.0  
1901      7               18.1               96.1  
1901      8               16.0               99.5  
1901      9               13.5              110.0  
1901     10                7.9               70.9  
1901     11                1.1               42.8  
1901     12                0.5               68.4  
1902      1                0.6               52.5  
1902      2               -0.7               69.6  
1902      3                4.1               74.2  
1902      4                9.9               31.7  
1902      5                8.0              151.3  
1902      6               14.7              128.2  
