DGUNR,XUTM,YUTM,Top,Bottom,RedoxNumber,Texture
,,,40.2,42.7,1,3
,,,42.7,47.5,-2,4
,,,47.5,51.1,-2,4
,,,51.1,55,1,3
,,,55,58,-2,4
,,,58,65,-2,5
,,,65,70,-2,5
,,,70,72.1,-2,5
,,,72.1,73.4,1,5
,,,73.4,78,-2,5
,,,78,83,1,5
,,,83,88,1,5
,,,88,90,1,5
88. 1053,548924,6218576,0,1,-999,3
,,,1,3,-999,3
,,,3,4,-999,3
,,,4,5,-999,3
,,,5,6,-999,3
,,,6,7,-999,3
,,,7,14,-999,3
,,,14,15,-999,3
,,,15,20,-999,3
,,,20,21,-999,3
,,,21,25,-999,3
,,,25,26,-999,3
,,,26,27,-999,3
,,,27,35,-999,3
,,,35,37,-999,5
88. 1089,548339,6222918,0,0.4,-2,8
,,,0.4,0.9,2,3
,,,0.9,2.1,2,2
,,,2.1,2.6,2,5
,,,2.6,3.1,2,5
,,,3.1,3.6,2,3
,,,3.6,4.1,2,3
,,,4.1,4.75,2,3
,,,4.75,5.1,2,5
,,,5.1,5.6,2,5
,,,5.6,6.1,2,3
,,,6.1,6.5,2,3
,,,6.5,6.7,2,4
,,,6.7,7.1,2,3
,,,7.1,8,2,3
88. 1092,548930,6222721,0,0.9,-2,8
,,,0.9,1.2,-2,8
,,,1.2,2,2,3
,,,2,2.7,2,3
,,,2.7,4.2,2,3
,,,4.2,5.25,2,3
,,,5.25,5.9,2,2
,,,5.9,6.5,2,3
,,,6.5,7.6,2,3
,,,7.6,8.1,2,3
,,,8.1,8.7,2,3
88. 1093,549115,6222119,0,0.4,-2,8
,,,0.4,1,2,5
,,,1,2,1,5
,,,2,2.9,2,3
,,,2.9,4.6,2,3
,,,4.6,5.3,2,3
,,,5.3,6.7,2,3
,,,6.7,7.5,2,3
,,,7.5,9.3,2,3
,,,9.3,10,1,5
88. 1094,548702,6222727,0,0.5,-2,8
,,,0.5,1,1,5
,,,1,2,1,5
,,,2,3,1,5
,,,3,4.9,1,5
,,,4.9,5.8,2,3
,,,5.8,6.9,2,3
,,,6.9,7,2,3
,,,7,7.6,2,5
,,,7.6,8.5,2,5
,,,8.5,8.6,2,3
,,,8.6,9.1,2,3
,,,9.1,9.6,2,3
,,,9.6,10,2,3
88. 1115,550656,6222829,0,0.4,-999,8
,,,0.4,3.25,1,5
,,,3.25,5,1,5
88. 1122,551387,6222572,0,1,1,5
,,,1,6.5,1,5
,,,6.5,12,-2,5
,,,12,17,-2,5
,,,17,22.5,-2,5
,,,22.5,24,1,5
