x,y,Au,Ag,As,Ba,Be,Bi,Cd,Co,Cr,Cu,Mn,Nb,Ni,P,Pb,Rb,Sb,Sn,Ti,V,W,Zn,Zr,Si,Al,Fe,Mg,Ca,Na,K
4.4745,8.9852,1.4538,0.073412,9.96,505.7,1.811,0.294,0.12844,9.8828,45.6,20.003,475.9,10.57,23.18,540.8,20.631,96.2,0.8294,1.9,3206.1,75.9,1.376,48.194,232.8,4.708e+05,1.044e+05,36200,25100,1.18e+05,12800,20200
18.845,30.56,0.5901,0.077932,7.6672,574.4,2.2159,0.30135,0.13319,9.7944,50.9,16.622,561.9,11.7,20.748,689.2,23.647,100,0.74728,2.96,3551.5,66.6,1.607,54.704,261.8,5.867e+05,1.259e+05,40300,14000,43600,17400,25500
35.588,19.498,0.6003,0.08195,6.0908,583.7,2.1386,0.23915,0.061054,6.6254,36.9,10.73,377.2,12.467,14.092,471.8,21.758,105.4,0.58765,2.18,3265.1,54.7,1.2653,44.645,320.8,6.73e+05,1.293e+05,30400,10900,13600,20400,29000
5.5717,34.003,0.4723,0.053959,5.666,580.3,2.038,0.1932,0.06528,4.5825,33.2,8.6499,304.1,8.565,10.39,455.5,18.55,114,0.55,1.88,2537,44.8,0.92,33.3,243.1,6.882e+05,1.284e+05,23200,8200,11500,23300,32500
32.939,5.7887,1.0418,0.097554,6.9596,550.6,2.5473,0.25552,0.048671,8.6762,46.5,13.549,418.5,12.306,20.409,582.5,18.385,99.9,0.71645,2.56,3589.8,61.5,1.3505,53.735,319.6,6.248e+05,1.301e+05,39100,12400,19000,19800,26700
31.977,0.96009,1.5932,0.079099,8.0816,522.7,1.7565,0.1793,0.084009,6.1042,33.7,11.556,338.9,7.4872,13.176,404.1,17.182,85.7,0.59225,1.47,2205.1,58.6,0.92146,37.782,221.2,4.711e+05,98200,25800,61300,1.04e+05,33700,22700
21.602,1.6852,0.6772,0.05933,5.456,565.7,1.8785,0.1785,0.093297,6.1622,33.5,10.742,381.2,8.326,11.949,519.9,18.691,105.2,0.53939,1.61,2853.6,48.1,0.867,37.542,214.9,6.547e+05,1.297e+05,27600,10100,19300,20900,29700
6.9895,10.917,0.6567,0.072239,6.522,519,1.946,0.20685,0.08033,5.2993,33.7,9.8056,349.2,11.36,11.98,588.4,17.974,103.3,0.6127,3.45,2939.2,48.1,1.248,35.607,365.6,6.442e+05,1.231e+05,27600,9200,14400,23500,28400
17.513,18.228,2.0425,0.08392,13.044,558.1,2.2351,0.29081,0.13892,10.137,45.3,18.304,498,12.12,26.953,614.6,18.773,101,0.82533,2.13,3342.5,66.3,1.4076,50.908,263.1,5.899e+05,1.215e+05,39600,13000,39600,17200,25200
22.101,3.6975,0.6413,0.064696,5.0408,505.6,2.0843,0.20265,0.071282,4.5837,23.1,7.0571,289.9,9.425,11.897,312.4,18.81,106.6,0.59598,1.84,2062.9,33.1,0.895,31.024,282.3,6.213e+05,1.104e+05,20000,8900,43200,21200,28600
